sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
1,power2,ALRI,All Age,1.628022766,0.001179168,1.451350384,6.257854683,-13996.27367,-13987.16701
2,power2,ALRI,All Age,3.232334477,0.004705577,0.929918634,6.449849033,-13883.17505,-13874.06838
3,power2,ALRI,All Age,2.193989873,0.002551969,1.220113027,8.52305188,-14067.90092,-14058.79425
4,power2,ALRI,All Age,2.214804472,0.012092137,0.850450283,6.526085027,-14026.71888,-14017.61221
5,power2,ALRI,All Age,1.883999514,0.001655821,1.398872614,5.944252023,-14054.70465,-14045.59799
6,power2,ALRI,All Age,1.953046496,0.003935574,1.06101709,6.672056133,-13802.82224,-13793.71557
7,power2,ALRI,All Age,2.657517962,0.005629073,0.929518799,8.119084498,-13913.1277,-13904.02104
8,power2,ALRI,All Age,5.419483567,0.004920211,0.732610929,7.285136113,-13806.38655,-13797.27989
9,power2,ALRI,All Age,3.204334317,0.003263344,1.071864664,7.907087768,-14194.57725,-14185.47058
10,power2,ALRI,All Age,2.793447145,0.008141359,0.791105201,7.854607406,-13896.55298,-13887.44632
11,power2,ALRI,All Age,1.038499278,0.020717767,0.794191189,7.281465199,-13862.51187,-13853.4052
12,power2,ALRI,All Age,2.104925212,0.001906744,1.211092625,8.759075081,-13905.27365,-13896.16698
13,power2,ALRI,All Age,2.279846541,0.003585665,1.109617422,5.992649146,-14108.31886,-14099.21219
14,power2,ALRI,All Age,2.938886554,0.0015876,1.242705831,8.020665733,-13935.24034,-13926.13368
15,power2,ALRI,All Age,2.322131135,0.001840282,1.231537232,7.435050289,-13871.59369,-13862.48703
16,power2,ALRI,All Age,2.607967894,0.001129236,1.47783187,6.506373937,-13799.08479,-13789.97812
17,power2,ALRI,All Age,2.326453008,0.000113796,1.982806366,7.957507973,-13844.21638,-13835.10971
18,power2,ALRI,All Age,2.325128525,0.002263765,1.157377536,7.14397648,-13898.86079,-13889.75412
19,power2,ALRI,All Age,1.889625407,0.003292154,1.148581117,6.618895265,-14095.1852,-14086.07854
20,power2,ALRI,All Age,2.262060009,0.006882148,0.943704938,7.294349021,-13803.60475,-13794.49808
21,power2,ALRI,All Age,2.180312585,0.003206093,1.276596384,8.762675068,-13827.45404,-13818.34737
22,power2,ALRI,All Age,1.725123801,0.00364988,1.255297136,8.707197396,-13988.27829,-13979.17163
23,power2,ALRI,All Age,1.619003566,0.001848441,1.184800377,6.237214581,-13844.9559,-13835.84923
24,power2,ALRI,All Age,2.464461142,0.005449923,0.997902828,8.21983461,-13971.07755,-13961.97089
25,power2,ALRI,All Age,2.50121504,0.006251604,0.894569006,7.625544275,-13892.98719,-13883.88052
26,power2,ALRI,All Age,2.718114036,0.000977698,1.474366508,8.728492737,-13974.47061,-13965.36395
27,power2,ALRI,All Age,8.190103199,0.002097377,0.776794469,6.383354974,-13923.13426,-13914.02759
28,power2,ALRI,All Age,2.401466303,0.009236089,0.741147988,7.583958331,-13993.0596,-13983.95293
29,power2,ALRI,All Age,2.28646406,0.001565418,1.403245711,8.485979247,-13898.62934,-13889.52267
30,power2,ALRI,All Age,2.142449465,0.000765697,1.615092701,6.253000443,-13800.04282,-13790.93616
31,power2,ALRI,All Age,1.850022784,0.000699995,1.608166347,6.604709629,-14041.14655,-14032.03989
32,power2,ALRI,All Age,1.979668242,0.002157987,1.284490666,7.010150008,-14085.00516,-14075.89849
33,power2,ALRI,All Age,1.594482595,0.001979454,1.416340562,8.297136205,-14200.8143,-14191.70764
34,power2,ALRI,All Age,4.924450826,0.004481277,0.661796195,8.195672956,-13759.63291,-13750.52624
35,power2,ALRI,All Age,1.926710508,0.003075152,1.213969861,8.09936828,-14035.68271,-14026.57604
36,power2,ALRI,All Age,1.995756295,0.005575773,0.934980243,6.55210886,-13837.97038,-13828.86372
37,power2,ALRI,All Age,2.045704742,0.001362017,1.45024877,7.657003382,-14017.27397,-14008.16731
38,power2,ALRI,All Age,3.142130269,0.004597092,0.928288327,6.363926567,-13857.24856,-13848.1419
39,power2,ALRI,All Age,1.381146368,0.016396518,0.836141329,8.514324499,-13849.99802,-13840.89135
40,power2,ALRI,All Age,4.181589464,0.005267658,0.776738498,6.216056821,-13762.39715,-13753.29048
41,power2,ALRI,All Age,2.233980652,0.003392174,1.071194603,5.944048755,-13835.26032,-13826.15365
42,power2,ALRI,All Age,1.592942579,0.003246093,1.256838782,7.464993923,-14095.25709,-14086.15042
43,power2,ALRI,All Age,2.055053762,0.001111082,1.449210633,7.097121761,-14069.35714,-14060.25048
44,power2,ALRI,All Age,2.607523956,0.001008749,1.420648947,7.29694744,-13929.55551,-13920.44884
45,power2,ALRI,All Age,2.606302828,0.000634642,1.549559184,7.187264285,-13912.4836,-13903.37693
46,power2,ALRI,All Age,2.825140025,0.000282589,1.755486217,7.515504932,-13853.17041,-13844.06374
47,power2,ALRI,All Age,1.874897712,0.002807645,1.145770107,7.545388071,-13884.2348,-13875.12814
48,power2,ALRI,All Age,2.312208714,0.002181963,1.353756746,7.716924382,-13809.85735,-13800.75068
49,power2,ALRI,All Age,1.51019387,0.00604899,1.048732446,6.115942993,-13769.0949,-13759.98824
50,power2,ALRI,All Age,4.422826526,0.003856866,0.961243669,8.268719792,-14004.38585,-13995.27919
51,power2,ALRI,All Age,2.46280513,0.000587779,1.524986555,8.585723869,-13994.07967,-13984.973
52,power2,ALRI,All Age,2.122443807,0.003527216,1.173370537,7.324070058,-13948.1643,-13939.05763
53,power2,ALRI,All Age,2.517243639,0.005334788,0.894184781,8.647774108,-13855.08604,-13845.97937
54,power2,ALRI,All Age,1.615123416,0.008907563,0.951206358,7.168136612,-14101.92334,-14092.81668
55,power2,ALRI,All Age,1.863032403,0.003613474,1.131537218,7.737309795,-13968.15502,-13959.04836
56,power2,ALRI,All Age,1.992447601,0.013282767,0.819126707,6.154728909,-13877.5949,-13868.48823
57,power2,ALRI,All Age,2.496333672,0.00305331,1.159459693,8.395312252,-14071.44967,-14062.343
58,power2,ALRI,All Age,2.28993751,0.004797718,0.875793459,7.384597131,-13987.80426,-13978.69759
59,power2,ALRI,All Age,3.749973996,0.002675342,0.890160627,8.323584384,-13842.03337,-13832.92671
60,power2,ALRI,All Age,1.807163381,0.000716155,1.534910593,8.701678829,-13859.23046,-13850.12379
61,power2,ALRI,All Age,1.494477831,0.008429655,0.84095254,6.519612314,-13728.14133,-13719.03466
62,power2,ALRI,All Age,1.932516594,0.001360026,1.385433318,8.482485889,-14128.1569,-14119.05023
63,power2,ALRI,All Age,2.81243817,0.00515589,0.925272533,6.129060735,-14067.83962,-14058.73295
64,power2,ALRI,All Age,2.437480976,0.000968187,1.373471584,6.225107209,-13873.45355,-13864.34688
65,power2,ALRI,All Age,1.802291578,0.009581264,0.905820921,7.627128209,-13972.27661,-13963.16994
66,power2,ALRI,All Age,2.569900681,0.001170421,1.399846841,8.69585747,-13980.23891,-13971.13225
67,power2,ALRI,All Age,1.626873753,0.001686813,1.486453999,7.859820142,-13970.63265,-13961.52598
68,power2,ALRI,All Age,4.074179426,0.000534938,1.598922152,6.848027247,-13748.45263,-13739.34596
69,power2,ALRI,All Age,2.029570324,0.00174177,1.330442206,6.40271064,-13888.28016,-13879.17349
