sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
1,power2,IHD,AllAge,1.411652109,0.06264745,0.412676305,6.463048932,-4725.979267,-4719.873825
2,power2,IHD,AllAge,1.21781579,0.028152064,0.786666817,6.533716303,-4724.192906,-4718.087464
3,power2,IHD,AllAge,1.203070926,0.058443932,0.522357557,7.087288599,-4683.234506,-4677.129064
4,power2,IHD,AllAge,1.764660183,0.055491441,0.329193273,7.173052776,-4725.119618,-4719.014176
5,power2,IHD,AllAge,3.074355171,0.042960873,0.270018747,6.835337239,-4704.981671,-4698.876229
6,power2,IHD,AllAge,1.234625313,0.023145027,0.914519327,7.657003382,-4740.953926,-4734.848484
7,power2,IHD,AllAge,2.036885568,0.051595977,0.306993256,7.515504932,-4742.489702,-4736.38426
8,power2,IHD,AllAge,1.467182374,0.065657189,0.347626124,6.115942993,-4713.644845,-4707.539403
9,power2,IHD,AllAge,2.528226438,0.043263159,0.279026012,6.519612314,-4732.966978,-4726.861536
10,power2,IHD,AllAge,1.833489171,0.058987022,0.309333498,7.701327611,-4746.652544,-4740.547102
11,power2,IHD,AllAge,13.03689435,0.01232503,0.20999627,5.997648246,-4770.56087,-4764.455428
12,power2,IHD,AllAge,2.372523838,0.043283725,0.294474715,7.085226755,-4775.254564,-4769.149122
13,power2,IHD,AllAge,1.336288181,0.044932438,0.427252448,7.741262112,-4770.94404,-4764.838597
14,power2,IHD,AllAge,1.213114355,0.035166263,0.746194609,7.440799105,-4752.631836,-4746.526394
15,power2,IHD,AllAge,1.144377145,0.021630055,0.918888631,7.217132083,-4771.866863,-4765.761421
16,power2,IHD,AllAge,1.153147895,0.023987974,0.911696265,7.848937797,-4768.198471,-4762.093029
17,power2,IHD,AllAge,1.155784202,0.025176836,0.73123418,8.744483893,-4764.458991,-4758.353549
18,power2,IHD,AllAge,1.135536709,0.048208311,0.466543763,8.4481733,-4764.072682,-4757.96724
19,power2,IHD,AllAge,1.090770359,0.017496626,1.036815278,6.840144169,-4745.023718,-4738.918276
20,power2,IHD,AllAge,2.187611579,0.033188873,0.334289683,8.479336563,-4752.793571,-4746.688129
21,power2,IHD,AllAge,1.542781099,0.057867891,0.35604879,7.18130408,-4725.148645,-4719.043203
22,power2,IHD,AllAge,2.156461375,0.043793737,0.314907428,7.684212543,-4756.623859,-4750.518417
23,power2,IHD,AllAge,1.210747606,0.030690065,0.801829148,7.554941054,-4804.971149,-4798.865707
24,power2,IHD,AllAge,1.245252041,0.018440404,0.949272456,8.599684996,-4735.233599,-4729.128157
25,power2,IHD,AllAge,1.906287708,0.044727024,0.331730675,8.707953368,-4822.902907,-4816.797465
26,power2,IHD,AllAge,1.432793168,0.073746215,0.353974627,6.340156719,-4785.386935,-4779.281492
27,power2,IHD,AllAge,1.265883129,0.052104556,0.422155043,6.862330196,-4733.705708,-4727.600266
28,power2,IHD,AllAge,1.163096774,0.006506222,1.459158037,7.626136566,-4732.31067,-4726.205228
29,power2,IHD,AllAge,1.209055626,0.054249151,0.432078115,7.5339242,-4738.823809,-4732.718367
30,power2,IHD,AllAge,2.201438449,0.034852294,0.323919406,6.380044592,-4757.580565,-4751.475123
31,power2,IHD,AllAge,1.687171879,0.048819473,0.336545433,8.624646147,-4758.509141,-4752.403699
32,power2,IHD,AllAge,1.235485359,0.032830163,0.859258399,6.617527449,-4758.705972,-4752.60053
33,power2,IHD,AllAge,1.530125652,0.058080076,0.340747317,6.770649981,-4733.553468,-4727.448026
34,power2,IHD,AllAge,3.336811914,0.027397087,0.294091803,8.552844794,-4766.246376,-4760.140934
35,power2,IHD,AllAge,1.367131476,0.07376556,0.347261767,7.407284005,-4764.223133,-4758.117691
36,power2,IHD,AllAge,1.272069104,0.036643358,0.473532452,8.793367985,-4772.626812,-4766.52137
37,power2,IHD,AllAge,2.296069043,0.060332115,0.268990976,6.572304971,-4730.600986,-4724.495544
38,power2,IHD,AllAge,2.981700071,0.033179977,0.303418836,8.315411657,-4769.369288,-4763.263846
39,power2,IHD,AllAge,1.886861036,0.036385593,0.370314515,7.580531734,-4745.541742,-4739.4363
40,power2,IHD,AllAge,1.563510804,0.049079668,0.390103674,7.128214373,-4758.248189,-4752.142747
41,power2,IHD,AllAge,1.683087232,0.037782769,0.376137418,7.146747182,-4756.747708,-4750.642266
42,power2,IHD,AllAge,1.797355288,0.052779128,0.323744636,7.688269659,-4759.705176,-4753.599734
43,power2,IHD,AllAge,1.551767324,0.041533665,0.390958129,8.650624815,-4748.907627,-4742.802185
44,power2,IHD,AllAge,1.192857489,0.035298886,0.739077205,6.540963859,-4765.488864,-4759.383422
45,power2,IHD,AllAge,1.614623501,0.0504852,0.353428083,8.371249293,-4813.436505,-4807.331063
46,power2,IHD,AllAge,1.162875743,0.028141715,0.860548766,6.173333534,-4702.942394,-4696.836952
47,power2,IHD,AllAge,1.523732919,0.03205757,0.425842521,8.310486403,-4793.520272,-4787.414829
48,power2,IHD,AllAge,3.276707476,0.034469548,0.273690252,7.075170034,-4767.116424,-4761.010982
49,power2,IHD,AllAge,5.54715768,0.024401069,0.24675147,6.403262605,-4758.815726,-4752.710284
50,power2,IHD,AllAge,1.255712279,0.033008259,0.743077352,8.399391956,-4726.214816,-4720.109374
51,power2,IHD,AllAge,1.118542565,0.041309805,0.730701898,6.59933017,-4775.877251,-4769.771809
52,power2,IHD,AllAge,2.120841727,0.056775008,0.299226016,6.884217507,-4728.952501,-4722.847059
