sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
1,power2,LC,All Age,78.26085081,0.000183783,0.787476658,7.279592645,-10241.26336,-10232.95321
2,power2,LC,All Age,577.2182696,5.85E-05,0.665065822,6.257854683,-10291.19815,-10282.888
3,power2,LC,All Age,66.27087331,0.000156526,0.812065468,8.041777945,-10177.0314,-10168.72125
4,power2,LC,All Age,137.7154919,0.000161267,0.720128948,8.52305188,-10340.94993,-10332.63978
5,power2,LC,All Age,174.0901774,7.16E-05,0.786007666,7.025136576,-10164.27934,-10155.96919
6,power2,LC,All Age,101.71536,0.000267068,0.707710522,8.731249671,-10248.98483,-10240.67468
7,power2,LC,All Age,250.7907394,0.000147656,0.656739256,6.754547322,-10250.47879,-10242.16864
8,power2,LC,All Age,292.7653412,6.66E-05,0.722567308,6.68710731,-10233.6491,-10225.33895
9,power2,LC,All Age,170.3444735,0.000117116,0.730610735,7.459259205,-10183.29368,-10174.98353
10,power2,LC,All Age,360.5840703,3.73E-05,0.763567652,7.97045251,-10253.08863,-10244.77848
11,power2,LC,All Age,447.5252412,6.68E-05,0.684317547,8.676414114,-10237.44245,-10229.1323
12,power2,LC,All Age,126.4572029,0.000149557,0.740534881,8.707197396,-10206.65614,-10198.34599
13,power2,LC,All Age,111.6385935,0.000168599,0.742843559,6.973590868,-10260.76347,-10252.45332
14,power2,LC,All Age,237.8779048,0.000147949,0.667818357,6.604709629,-10282.67032,-10274.36017
15,power2,LC,All Age,82.88214717,0.000197652,0.757407963,6.55210886,-10272.43389,-10264.12374
16,power2,LC,All Age,93.00054244,0.000191836,0.751245476,7.515504932,-10209.49125,-10201.1811
17,power2,LC,All Age,202.5384179,8.60E-05,0.7409313,6.463995168,-10260.77185,-10252.4617
18,power2,LC,All Age,106.3144099,0.000146845,0.760233879,8.131448831,-10301.97895,-10293.6688
19,power2,LC,All Age,224.349327,0.000111244,0.702837019,8.268719792,-10174.96448,-10166.65433
20,power2,LC,All Age,130.766057,0.000209139,0.700796287,8.585723869,-10265.08843,-10256.77828
