"ecolilevel","meannoboiling","meanlabboiling","meangoodboiling","meanineffectiveboiling","meanmoderateboiling","meanworseboiling","meanbadzeroboiling","meannegativeboiling"
941.938949011965,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
131.136890727794,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
112.131104434142,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
879.643636273919,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
339.383867487544,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
250.134300635662,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
836.255955236498,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
958.783133733086,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
864.886284222594,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
428.974601262482,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
921.818712597713,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
785.137362267822,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
541.809639705811,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
841.070886031259,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
778.421151723014,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
678.894997851225,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
460.914870208828,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
419.480401166482,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
380.503677435918,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
440.534760742914,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
582.35801138985,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
203.665892265271,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
568.878045710968,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
352.190292214276,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
576.705029134871,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
401.143026148435,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
894.174041530117,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
211.436060759006,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
134.806265555788,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
452.044563071802,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
514.901059535332,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
859.50919471425,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
948.284587260569,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
755.022305370774,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
456.717831109883,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
573.527875102125,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
557.289854380768,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
659.766961278627,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
650.099397079321,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
763.531164660119,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
854.438354451908,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
180.16497776215,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
254.012681473047,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
789.966362990672,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
817.809244031552,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
324.632351131411,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
185.746188920224,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
665.225749054458,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
347.968758475501,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
134.487350465031,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
371.941669364227,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
477.870630575344,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
833.609124399954,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
227.06240413012,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
617.058195977472,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
404.890453399625,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
714.086194232106,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
207.680146004073,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
353.087822762784,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
699.801627682988,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
316.786336810561,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
176.390201864531,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
255.318355477881,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
386.898078066995,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
366.754274486564,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
164.998915220844,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
192.517790008336,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
639.314016559627,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
513.574204133824,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
339.556248648791,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
350.528493654449,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
105.986357690068,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
761.35531335813,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
653.134593640221,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
285.72884423472,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
580.632185541559,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
209.954692559084,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
490.127475358313,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
980.247598254355,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
504.756780368043,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
343.453092930838,1130.85,47.06,245.61,365.03,286.36,828.85,1098.08,1270.27
341.812110304134,257.72,42.3,70.16,92.37,77.59,178.02,247.38,308.98
531.884552431526,598.47,43.57,114.02,168.82,132.43,400.36,574.13,714.76
