"ecolilevel","meannoboiling","meanlabboiling","meangoodboiling","meanineffectiveboiling","meanmoderateboiling","meanworseboiling","meanbadzeroboiling","meannegativeboiling"
774.085990844993,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
112.284943867009,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
714.776454199804,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
350.795410984661,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
923.463967547752,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
228.960603395011,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
111.324317062041,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
912.838123380439,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
511.649081550073,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
249.22982481448,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
311.858282487839,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
999.525868394645,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
185.621533614816,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
362.773439731216,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
787.82026829198,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
423.383309296798,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
729.969476480735,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
797.814322892111,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
686.958924733335,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
228.304889780004,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
195.157569240313,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
455.860297260806,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
292.344453087775,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
574.840945034288,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
270.660196358804,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
389.803107855842,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
493.871430705767,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
369.488279055106,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
667.364921923727,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
912.403348390013,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
363.691068891203,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
232.770857723895,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
506.926403719001,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
450.060294419527,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
262.062718856381,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
114.944070689147,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
608.045782964444,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
794.093301533721,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
590.549825397087,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
146.943385023624,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
894.666356307687,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
451.25818284112,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
915.818502083188,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
349.692885525292,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
897.831601796439,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
347.146463810932,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
537.7618583492,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
838.673712640069,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
383.731505313423,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
328.542630908545,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
628.396646136418,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
521.070728758583,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
633.948025547201,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
828.298055275111,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
778.764131939737,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
603.229873623233,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
994.28404665878,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
224.076343997149,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
395.559768310748,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
653.823757217266,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
801.784532621503,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
505.09384890832,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
526.352517261868,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
804.904844931792,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
149.896302468609,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
648.370502048871,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
409.730981504312,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
952.333228272852,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
983.402056079591,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
955.793953135842,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
278.408610352082,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
758.524119974812,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
542.594539871905,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
278.608104262035,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
691.971576123498,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
887.840519047109,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
920.782158542192,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
956.808597379364,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
523.079829256749,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
325.758796870941,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
780.936354142614,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
885.099890085403,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
341.697712467983,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
135.773074262543,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
204.047387651633,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
945.413379386067,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
144.483417835785,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
446.429567676038,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
152.215380736394,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
249.148721628822,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
608.273610346718,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
977.695391708286,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
287.238643029006,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
497.082065051189,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
390.588474793825,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
280.173034886597,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
172.945087276865,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
175.320963101694,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
259.297472387087,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
109.378228675807,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
876.7071102669,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
517.578593287151,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
921.18638299848,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
346.826108634705,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
426.633170900634,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
820.021912960568,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
659.835789410165,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
381.534280045191,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
481.033369519981,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
698.032099217642,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
133.472651799675,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
739.174578371923,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
240.873985072132,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
206.987541083246,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
218.541746187024,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
248.315756726312,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
323.783930218546,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
171.908678695094,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
521.581290340051,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
638.644885241287,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
361.774091790896,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
784.129167011706,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
758.402466033585,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
659.175119012594,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
265.091681814753,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
299.944780664053,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
251.792356857099,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
905.233422591118,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
477.853959283559,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
760.480827526189,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
749.583909247071,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
951.955177160678,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
958.629316487582,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
758.113634077134,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
896.097888968419,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
806.547629130539,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
951.439790455624,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
878.247547507519,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
237.578845548443,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
705.619263198692,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
206.164809997426,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
439.360533260508,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
982.945588127244,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
404.318568248302,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
566.592344354372,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
725.448734425474,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
867.183740695473,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
244.001492367592,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
128.150394173572,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
899.491976388032,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
122.636694975896,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
244.477519108681,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
601.550830249209,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
811.61859937734,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
260.841525121359,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
697.799539856846,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
715.328073497163,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
735.456096001435,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
696.389821141958,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
226.130253759446,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
917.32614305173,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
356.169463963946,388.67,21.99,71.72,108.21,83.92,273.29,376.04,444.03
