"ecolilevel","sdnoboiling","sdlabboiling","sdgoodboiling","sdineffectiveboiling","sdmoderateboiling","sdworseboiling","sdbadzeroboiling","sdnegativeboiling"
941.938949011965,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
131.136890727794,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
112.131104434142,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
879.643636273919,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
339.383867487544,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
250.134300635662,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
836.255955236498,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
958.783133733086,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
864.886284222594,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
428.974601262482,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
921.818712597713,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
785.137362267822,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
541.809639705811,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
841.070886031259,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
778.421151723014,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
678.894997851225,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
460.914870208828,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
419.480401166482,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
380.503677435918,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
440.534760742914,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
582.35801138985,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
203.665892265271,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
568.878045710968,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
352.190292214276,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
576.705029134871,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
401.143026148435,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
894.174041530117,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
211.436060759006,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
134.806265555788,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
452.044563071802,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
514.901059535332,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
859.50919471425,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
948.284587260569,697.59,53.88,378.76,457.08,406.55,627.46,689.66,728
755.022305370774,383.77,54.02,92.07,160.65,114.75,309.43,374.56,425.75
456.717831109883,568.78,54,177.79,279.12,214.35,469.67,557.59,617.68
