"ecolilevel","sdnoboiling","sdlabboiling","sdgoodboiling","sdineffectiveboiling","sdmoderateboiling","sdworseboiling","sdbadzeroboiling","sdnegativeboiling"
757.249160397565,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
667.798578336136,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
821.993677359074,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
231.212774622021,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
447.624727889197,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
578.995679320069,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
588.775502786739,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
210.3547506053,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
602.176707721315,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
263.287537294906,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
358.000448286068,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
476.666515458608,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
127.113949798979,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
686.790312284138,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
879.29498990695,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
854.988919430878,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
248.174125576159,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
372.674896416953,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
780.962794363033,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
371.823235102464,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
460.832275027642,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
236.582875110907,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
684.200721496018,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
994.752758895978,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
290.717663675547,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
341.487570298137,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
667.179061939241,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
986.722653718898,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
188.009985697689,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
141.236381353112,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
161.241482096724,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
952.358384765917,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
353.395261335187,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
583.525249434169,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
400.241455615964,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
131.360674567753,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
857.08920475957,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
280.079430377577,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
474.854483959032,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
635.464441617951,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
277.943362692604,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
198.468056349317,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
318.622400992317,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
582.823446595343,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
522.983197428519,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
522.269551142585,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
660.401636249619,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
132.775787742343,185.61,26.75,114.78,131.38,121.24,175.12,184.74,187.81
376.994681870798,110.47,19.37,83.95,89.84,86.29,100.37,108.79,119.5
483.73481120239,148.95,19.6,91.59,98.15,93.17,128.26,146.81,157.33
