"boilingbargrouptotal","boilingbargrouprisk","Boiling_Log_Reduction_Value","boilingbargroupsdtotal"
-385.328976421256,"LowRisk","6:Lab Level",698.925110176958
-325.411783423505,"LowRisk","2:Very Good",617.1290421309
-316.294913293206,"LowRisk","1.8:Good",598.947452771374
-298.760909668476,"LowRisk","1.5:Moderate",562.150813218741
-156.895545439938,"LowRisk","0.464:Low",269.191795391904
-20.8001032392607,"LowRisk","0.048:Ineffective",32.8019795577305
0,"LowRisk","0.0:No Boiling",0
105.396127880626,"LowRisk","-0.208:Worse than Source",154.554400457143
111.597615941488,"MediumRisk","6:Lab Level",99.9008060664458
209.743887255335,"MediumRisk","2:Very Good",261.978133019325
228.895528000996,"MediumRisk","1.8:Good",287.11443394957
266.831451322995,"MediumRisk","1.5:Moderate",330.573209385333
571.004579642687,"MediumRisk","0.464:Low",561.95410553993
830.70691667034,"MediumRisk","0.048:Ineffective",701.080488705059
867.592372987268,"MediumRisk","0.0:No Boiling",718.336940124607
1045.10204001194,"MediumRisk","-0.208:Worse than Source",794.661385912661
-1372.27613069133,"HighRisk","6:Lab Level",893.325338558695
-1167.5896118541,"HighRisk","2:Very Good",808.39434760637
-1119.22962918332,"HighRisk","1.8:Good",783.525536739318
-1023.8615703467,"HighRisk","1.5:Moderate",731.479951728721
-413.177806573651,"HighRisk","0.464:Low",329.490045303546
-45.7609327180951,"HighRisk","0.048:Ineffective",37.1805026510945
0,"HighRisk","0.0:No Boiling",0
204.400111872253,"HighRisk","-0.208:Worse than Source",163.945362516651
