"ecolilevel","meannoboiling","meanlabboiling","meangoodboiling","meanineffectiveboiling","meanmoderateboiling","meanworseboiling","meanbadzeroboiling","meannegativeboiling"
830.241383846384,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
663.815960009815,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
366.474723755382,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
569.427008804167,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
614.639861283824,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
563.144676336087,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
156.413826639764,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
989.234431121266,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
237.75622305274,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
342.948733973317,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
110.521314728539,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
856.273348616669,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
394.331940763397,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
446.632274776697,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
111.792153107701,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
399.808134525781,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
932.008021018934,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
701.056242494611,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
458.939423963893,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
743.396936810808,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
433.578798573231,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
397.829754316015,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
774.060074539389,1243.41,63.8,238.52,368.93,282.32,908.68,1208.05,1395.11
