"ecolilevel","meannoboiling","meanlabboiling","meangoodboiling","meanineffectiveboiling","meanmoderateboiling","meanworseboiling","meanbadzeroboiling","meannegativeboiling"
503.863711363403,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
163.143051329069,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
269.793007448316,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
758.320588801987,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
142.755017625401,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
683.81778183789,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
973.877595769009,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
821.474642925896,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
242.923906132579,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
338.11888573505,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
171.039832430426,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
119.176965613849,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
887.025386505295,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
309.812757874373,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
924.875811016653,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
635.577849604655,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
775.024914012989,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
996.778131941333,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
883.67944629211,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
896.940777064534,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
137.219272142509,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
231.566028006608,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
514.310585559811,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
286.731176166097,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
413.080896185944,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
761.47165635624,174.96,9.82,31.69,48.45,37.25,123.85,169.38,199.48
