"ecolilevel","sdnoboiling","sdlabboiling","sdgoodboiling","sdineffectiveboiling","sdmoderateboiling","sdworseboiling","sdbadzeroboiling","sdnegativeboiling"
830.241383846384,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
663.815960009815,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
366.474723755382,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
569.427008804167,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
614.639861283824,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
563.144676336087,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
156.413826639764,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
989.234431121266,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
237.75622305274,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
342.948733973317,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
110.521314728539,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
856.273348616669,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
394.331940763397,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
446.632274776697,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
111.792153107701,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
399.808134525781,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
932.008021018934,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
701.056242494611,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
458.939423963893,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
743.396936810808,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
433.578798573231,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
397.829754316015,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
774.060074539389,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
569.755789736286,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
677.152160156053,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
523.00226642075,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
807.709208978573,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
820.430153120309,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
644.428778172936,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
810.43617659458,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
605.101331882412,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
382.961652365979,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
733.471921122167,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
459.314189253142,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
474.073440207867,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
103.251136374893,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
906.301309180679,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
831.873810732737,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
194.699407094391,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
904.162205175962,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
600.701850465965,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
923.30436986615,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
974.069712589961,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
807.842762253946,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
694.977996930014,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
879.804922497598,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
781.266323563876,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
178.857600981835,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
698.540531230858,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
774.412025986239,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
934.06495014648,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
531.399952576961,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
267.408071643906,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
385.783251807792,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
773.614170074463,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
442.274560025195,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
706.331273061922,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
173.380802509142,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
768.024867226835,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
949.893365347991,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
710.337749711238,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
703.572242612718,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
793.480389226461,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
520.474428716348,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
441.293864540756,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
303.536387527594,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
304.363503548084,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
467.505807760404,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
358.045434839791,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
746.859609347535,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
267.270121293608,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
980.492917023599,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
268.893858059542,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
864.415015833685,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
853.154181258054,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
547.456085689133,838.57,72.49,349.94,456.72,389.64,724.81,827.07,887.22
