"ecolilevel","sdnoboiling","sdlabboiling","sdgoodboiling","sdineffectiveboiling","sdmoderateboiling","sdworseboiling","sdbadzeroboiling","sdnegativeboiling"
642.514674545499,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
759.192551135318,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
756.443394481437,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
775.061948699411,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
251.290566610172,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
881.851487823995,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
319.745478020282,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
935.915370389586,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
218.661400753772,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
155.996489451732,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
694.332137853373,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
775.386377140647,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
957.924865398556,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
236.028736291919,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
512.606533887563,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
667.054977016523,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
366.738308376167,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
460.64834408788,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
834.507770596072,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
823.354662367608,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
912.630755258957,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
974.684304648079,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
603.571288374951,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
339.87657263712,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
929.228981335647,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
661.824994332157,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
142.270281088306,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
277.676450804574,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
519.359094659565,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
719.643551462796,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
468.050617211731,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
828.356095324503,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
663.845146439737,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
989.701389510185,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
432.105700399028,66.4,8.6,25.02,30.25,26.95,50.08,64.66,73.78
709.895600980846,80.92,8.73,34.66,49.93,40.42,76.54,80.79,81.13
981.851219245,36.19,8.73,17.36,22.47,19.99,30.13,35.25,41.57
