"ecolilogreductionvaluelist","waterDALYplotavg"
0,1132.02825336979
0.001,1131.3424814698
0.002,1130.65671349534
0.003,1129.9709499732
0.004,1129.28519143033
0.005,1128.59943839381
0.006,1127.91369139088
0.007,1127.22795094891
0.008,1126.54221759544
0.009,1125.85649185814
0.01,1125.17077426484
0.011,1124.48506534351
0.012,1123.79936562227
0.013,1123.1136756294
0.014,1122.42799589334
0.015,1121.74232694266
0.016,1121.05666930609
0.017,1120.37102351254
0.018,1119.68539009104
0.019,1118.99976957081
0.02,1118.31416248119
0.021,1117.62856935172
0.022,1116.94299071207
0.023,1116.25742709209
0.024,1115.57187902178
0.025,1114.8863470313
0.026,1114.20083165099
0.027,1113.51533341135
0.028,1112.82985284303
0.029,1112.14439047687
0.03,1111.45894684386
0.031,1110.77352247518
0.032,1110.08811790217
0.033,1109.40273365633
0.034,1108.71737026936
0.035,1108.03202827311
0.036,1107.34670819962
0.037,1106.6614105811
0.038,1105.97613594994
0.039,1105.29088483871
0.04,1104.60565778017
0.041,1103.92045530724
0.042,1103.23527795304
0.043,1102.55012625088
0.044,1101.86500073422
0.045,1101.17990193676
0.046,1100.49483039235
0.047,1099.80978663503
0.048,1099.12477119905
0.049,1098.43978461884
0.05,1097.75482742902
