"ecolilogreductionvaluelist","waterDALYplotavg"
0,220.248488389294
0.001,220.063824527951
0.002,219.879399305293
0.003,219.695212450522
0.004,219.511263692827
0.005,219.327552761369
0.006,219.144079385294
0.007,218.960843293724
0.008,218.777844215775
0.009,218.595081880547
0.01,218.412556017132
0.011,218.230266354618
0.012,218.048212622092
0.013,217.866394548641
0.014,217.684811863347
0.015,217.50346429531
0.016,217.322351573631
0.017,217.14147342742
0.018,216.960829585811
0.019,216.780419777947
0.02,216.600243732993
0.021,216.420301180134
0.022,216.240591848584
0.023,216.061115467585
0.024,215.881871766406
0.025,215.70286047435
0.026,215.524081320762
0.027,215.345534035016
0.028,215.167218346537
0.029,214.989133984788
0.03,214.811280679283
0.031,214.633658159582
0.032,214.456266155302
0.033,214.279104396108
0.034,214.102172611729
0.035,213.925470531954
0.036,213.74899788663
0.037,213.572754405675
0.038,213.396739819069
0.039,213.220953856872
0.04,213.045396249207
0.041,212.870066726282
0.042,212.694965018376
0.043,212.520090855857
0.044,212.345443969168
0.045,212.171024088847
0.046,211.996830945511
0.047,211.822864269878
0.048,211.649123792754
0.049,211.475609245043
0.05,211.302320357747
