"ecolilogreductionvaluelist","waterDALYplotavg"
0,534.9405045447
0.001,534.439771905882
0.002,533.939400001104
0.003,533.439388773472
0.004,532.939738166053
0.005,532.440448121881
0.006,531.941518583957
0.007,531.442949495244
0.008,530.944740798665
0.009,530.446892437107
0.01,529.949404353421
0.011,529.45227649041
0.012,528.955508790842
0.013,528.459101197443
0.014,527.963053652891
0.015,527.467366099825
0.016,526.97203848084
0.017,526.477070738479
0.018,525.982462815245
0.019,525.488214653589
0.02,524.994326195914
0.021,524.500797384572
0.022,524.007628161865
0.023,523.514818470045
0.024,523.022368251307
0.025,522.530277447792
0.026,522.03854600159
0.027,521.547173854728
0.028,521.05616094918
0.029,520.56550722686
0.03,520.075212629622
0.031,519.58527709926
0.032,519.095700577502
0.033,518.606483006017
0.034,518.117624326411
0.035,517.629124480213
0.036,517.140983408901
0.037,516.653201053872
0.038,516.165777356465
0.039,515.678712257933
0.04,515.192005699475
0.041,514.705657622207
0.042,514.219667967169
0.043,513.734036675334
0.044,513.248763687593
0.045,512.76384894476
0.046,512.279292387569
0.047,511.795093956678
0.048,511.31125359266
0.049,510.827771236005
0.05,510.344646827124
