"ecolilogreductionvaluelist","waterDALYplotavg"
0,417.140879359219
0.001,416.878751697104
0.002,416.616636561267
0.003,416.354534191797
0.004,416.092444829184
0.005,415.830368714309
0.006,415.568306088442
0.007,415.306257193237
0.008,415.044222270731
0.009,414.782201563335
0.01,414.520195313833
0.011,414.258203765378
0.012,413.996227161486
0.013,413.734265746034
0.014,413.472319763253
0.015,413.210389457727
0.016,412.948475074384
0.017,412.686576858499
0.018,412.424695055681
0.019,412.162829911875
0.02,411.900981673354
0.021,411.639150586717
0.022,411.377336898881
0.023,411.115540857082
0.024,410.853762708864
0.025,410.592002702081
0.026,410.330261084885
0.027,410.068538105728
0.028,409.806834013355
0.029,409.545149056796
0.03,409.283483485368
0.031,409.021837548663
0.032,408.76021149655
0.033,408.498605579164
0.034,408.237020046905
0.035,407.975455150433
0.036,407.713911140663
0.037,407.452388268757
0.038,407.190886786123
0.039,406.929406944409
0.04,406.667948995498
0.041,406.4065131915
0.042,406.145099784754
0.043,405.883709027815
0.044,405.622341173454
0.045,405.360996474652
0.046,405.099675184595
0.047,404.838377556667
0.048,404.577103844447
0.049,404.315854301703
0.05,404.054629182389
