"ecolilogreductionvaluelist","waterDALYplotavg"
0,80.5330451293087
0.001,80.4656658524953
0.002,80.3983806477591
0.003,80.3311894072754
0.004,80.2640920231853
0.005,80.1970883875947
0.006,80.1301783925754
0.007,80.0633619301651
0.008,79.996638892367
0.009,79.9300091711485
0.01,79.8634726584446
0.011,79.7970292461557
0.012,79.7306788261468
0.013,79.6644212902506
0.014,79.5982565302635
0.015,79.5321844379501
0.016,79.4662049050392
0.017,79.4003178232262
0.018,79.3345230841735
0.019,79.2688205795085
0.02,79.203210200826
0.021,79.1376918396854
0.022,79.072265387615
0.023,79.0069307361068
0.024,78.9416877766216
0.025,78.8765364005848
0.026,78.8114764993889
0.027,78.7465079643949
0.028,78.6816306869292
0.029,78.616844558284
0.03,78.5521494697201
0.031,78.4875453124641
0.032,78.4230319777103
0.033,78.3586093566203
0.034,78.2942773403222
0.035,78.2300358199115
0.036,78.1658846864514
0.037,78.1018238309729
0.038,78.037853144472
0.039,77.9739725179166
0.04,77.9101818422382
0.041,77.8464810083376
0.042,77.7828699070839
0.043,77.7193484293128
0.044,77.6559164658293
0.045,77.5925739074064
0.046,77.5293206447833
0.047,77.4661565686693
0.048,77.4030815697416
0.049,77.3400955386456
0.05,77.2771983659945
