"ecolilogreductionvaluelist","waterDALYplotavg"
0,206.51438093837
0.001,206.324377360612
0.002,206.134520136148
0.003,205.944809330469
0.004,205.75524500861
0.005,205.565827235146
0.006,205.376556074194
0.007,205.187431589413
0.008,204.998453843997
0.009,204.809622900681
0.01,204.620938821733
0.011,204.432401668958
0.012,204.244011503696
0.013,204.055768386818
0.014,203.867672378727
0.015,203.679723539361
0.016,203.49192192818
0.017,203.30426760418
0.018,203.116760625881
0.019,202.929401051332
0.02,202.742188938104
0.021,202.555124343296
0.022,202.368207323529
0.023,202.181437934949
0.024,201.994816233224
0.025,201.808342273539
0.026,201.622016110603
0.027,201.435837798644
0.028,201.249807391406
0.029,201.063924942155
0.03,200.878190503668
0.031,200.692604128244
0.032,200.507165867692
0.033,200.321875773339
0.034,200.136733896025
0.035,199.9517402861
0.036,199.766894993431
0.037,199.582198067392
0.038,199.397649556872
0.039,199.213249510267
0.04,199.028997975482
0.041,198.844894999934
0.042,198.660940630545
0.043,198.477134913747
0.044,198.293477895479
0.045,198.109969621182
0.046,197.926610135809
0.047,197.743399483814
0.048,197.560337709157
0.049,197.377424855302
0.05,197.194660965218
