"ecolilevel","meannoboiling","meanlabboiling","meangoodboiling","meanineffectiveboiling","meanmoderateboiling","meanworseboiling","meanbadzeroboiling","meannegativeboiling"
479.360952004325,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
401.703825781355,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
669.987151788548,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
797.412674891064,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
461.231996495742,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
795.642486874945,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
895.641166280024,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
593.460842634318,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
358.486212139949,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
513.669764061226,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
235.513864710461,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
671.490947435843,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
508.188535441877,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
421.819360149093,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
986.109424718423,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
797.91866231733,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
653.925701453816,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
921.367968566483,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
819.517258241307,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
550.110705127474,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
266.689160464099,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
449.70393564133,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
798.437057084637,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
483.957643916132,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
444.267487819307,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
731.190981676104,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
528.492106248857,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
958.005302335368,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
954.185458669905,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
121.190233359346,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
298.163329839939,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
132.291321221273,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
535.676702918485,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
768.966586839873,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
563.794032434234,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
358.002152736066,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
487.282901739003,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
988.976668171585,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
612.251638191286,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
603.586761967745,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
698.682918007253,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
844.740149085177,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
799.781702565262,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
986.592321378877,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
479.355289621744,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
317.108246358112,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
422.416205037618,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
248.313687022077,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
967.870400421321,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
475.226957042469,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
907.219440277433,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
439.200718728825,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
877.906164780958,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
164.731293965131,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
559.584713885561,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
615.04515764094,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
243.44043213781,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
953.451337843202,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
773.399642132688,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
772.120594010456,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
102.477902366314,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
553.787863743026,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
102.631587952841,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
326.985248801764,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
346.626653657295,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
125.774097416783,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
582.072629359085,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
955.180909169605,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
914.563830337953,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
459.074355786201,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
413.693756583147,1160.27,59.55,228.11,351.9,270.09,848.56,1127.38,1301.43
