"ecolilevel","meannoboiling","meanlabboiling","meangoodboiling","meanineffectiveboiling","meanmoderateboiling","meanworseboiling","meanbadzeroboiling","meannegativeboiling"
221.113298439421,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
369.632607435109,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
871.130018632393,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
347.479445690056,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
517.945965788793,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
578.815925046802,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
794.821848517982,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
755.478596870787,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
318.308838288998,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
445.481480080402,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
675.202197353821,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
876.346716109663,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
704.959697982995,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
648.504764063982,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
747.3790381297,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
345.364830255043,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
718.536155249225,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
344.284670913825,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
590.108587185852,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
816.549615713069,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
272.553480913397,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
724.857114661019,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
929.760983236134,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
513.454504983034,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
560.890207670396,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
821.669393972959,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
150.181514117168,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
352.239578092936,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
193.516786718508,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
520.852205626201,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
891.102237912826,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
925.508139359998,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
493.181883245474,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
908.899840011029,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
338.259907988599,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
877.992617632961,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
695.524616953917,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
860.449935780838,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
281.72512279544,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
585.185697495239,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
113.836415343918,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
427.569487053435,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
831.305440394673,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
516.343271643855,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
786.599908048287,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
579.333005317487,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
924.176508233184,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
279.221499877051,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
364.809872130631,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
840.780275108758,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
565.021988710156,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
590.931226382498,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
241.238078239607,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
247.797954110429,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
399.00377897243,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
546.02715627593,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
692.185989988735,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
350.992416142253,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
452.109940859023,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
792.71350687393,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
930.199066446163,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
577.704050753498,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
840.973011292052,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
678.568441725569,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
502.265479808906,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
647.20494291815,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
893.749711554963,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
960.383513694163,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
824.611829144647,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
275.998095029499,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
566.904444156913,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
283.982654363848,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
555.930107678287,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
395.848347833613,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
383.278364419006,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
621.82436313387,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
215.56561468984,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
404.196947797434,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
804.429388992023,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
471.833091287175,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
365.530064735329,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
284.503220143728,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
265.985860815505,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
327.385572049767,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
561.93614886445,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
299.899872812675,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
823.664626950398,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
659.479000908788,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
157.747450861614,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
161.036282685352,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
972.534475355642,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
857.680193021428,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
640.399670203682,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
641.845474571921,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
309.925564081175,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
273.699437717907,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
645.971486897208,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
252.61664001178,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
993.274783269502,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
448.13286183821,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
899.658182554878,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
667.984144861344,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
936.818734121509,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
350.946645704797,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
876.625698341988,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
862.076564230025,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
161.548195393523,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
397.48477284098,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
756.491612854879,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
220.466359298676,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
783.893661127193,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
364.01145755779,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
880.308343934361,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
409.50104108965,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
660.37968017906,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
214.730893008644,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
844.306170746684,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
968.738341190387,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
671.342815178912,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
891.278857907047,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
327.82122365036,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
974.184225339908,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
300.546128122136,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
425.732167820446,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
466.207791954279,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
703.714392235503,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
891.256682474632,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
738.749759646831,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
670.305315648671,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
765.163099447498,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
965.812894840958,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
775.118473728653,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
174.769895558013,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
678.479413674213,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
249.801984168123,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
775.816930043278,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
289.319484692067,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
942.552237248514,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
328.638749287697,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
631.434169440065,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
542.225976997288,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
846.339623132022,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
601.67110689939,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
825.954306961736,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
312.510204366175,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
688.825936309993,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
455.384612540016,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
663.769810503349,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
554.247536513489,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
495.123246141942,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
732.332729998278,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
268.636284330394,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
882.08620480122,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
167.392380810576,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
665.446146181785,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
263.760676120408,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
393.638487280579,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
869.1289348891,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
422.315517526818,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
401.945530312834,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
820.163956670091,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
126.248060942395,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
425.62077679066,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
595.840445098933,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
701.881608643802,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
743.193379892269,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
745.721589339664,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
911.661665230757,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
433.745029857848,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
931.849476818461,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
118.281616752967,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
116.365931961918,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
256.769000458997,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
674.01937561715,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
585.334724154091,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
733.838017850416,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
325.620399005711,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
529.419899733039,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
152.307469806634,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
285.779520172626,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
145.591599607607,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
394.923893966246,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
516.370378322434,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
386.683120611357,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
649.869601510465,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
653.523259312613,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
881.282438887516,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
757.484442943241,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
734.430354517885,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
257.372592608444,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
362.832644198555,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
150.072305821581,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
234.161150564905,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
141.769886970753,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
787.45737512596,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
265.178666326217,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
302.845927454997,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
609.562350997701,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
982.770781426691,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
287.238684891956,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
454.481989572989,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
744.837232433492,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
666.48454995174,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
207.39874304668,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
391.151263335487,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
867.937325282022,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
540.984516361728,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
916.180983317783,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
227.273572360864,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
268.661454428919,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
101.104468781734,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
293.621298800223,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
760.41103445366,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
913.850343968486,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
385.301899680868,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
396.729953297414,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
691.772097284207,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
949.764238451608,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
873.819810065208,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
109.873503373237,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
233.585007323651,378.12,21.94,70.06,106.55,82.23,265.56,365.62,433.26
