"ecolilevel","sdnoboiling","sdlabboiling","sdgoodboiling","sdineffectiveboiling","sdmoderateboiling","sdworseboiling","sdbadzeroboiling","sdnegativeboiling"
479.360952004325,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
401.703825781355,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
669.987151788548,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
797.412674891064,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
461.231996495742,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
795.642486874945,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
895.641166280024,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
593.460842634318,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
358.486212139949,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
513.669764061226,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
235.513864710461,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
671.490947435843,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
508.188535441877,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
421.819360149093,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
986.109424718423,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
797.91866231733,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
653.925701453816,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
921.367968566483,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
819.517258241307,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
550.110705127474,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
266.689160464099,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
449.70393564133,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
798.437057084637,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
483.957643916132,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
444.267487819307,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
731.190981676104,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
528.492106248857,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
958.005302335368,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
954.185458669905,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
121.190233359346,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
298.163329839939,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
132.291321221273,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
535.676702918485,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
768.966586839873,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
563.794032434234,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
358.002152736066,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
487.282901739003,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
988.976668171585,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
612.251638191286,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
603.586761967745,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
698.682918007253,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
844.740149085177,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
799.781702565262,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
986.592321378877,660.96,72.44,316.33,406.54,350.34,590.73,654.27,688.37
