"ecolilevel","sdnoboiling","sdlabboiling","sdgoodboiling","sdineffectiveboiling","sdmoderateboiling","sdworseboiling","sdbadzeroboiling","sdnegativeboiling"
221.113298439421,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
369.632607435109,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
871.130018632393,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
347.479445690056,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
517.945965788793,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
578.815925046802,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
794.821848517982,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
755.478596870787,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
318.308838288998,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
445.481480080402,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
675.202197353821,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
876.346716109663,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
704.959697982995,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
648.504764063982,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
747.3790381297,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
345.364830255043,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
718.536155249225,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
344.284670913825,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
590.108587185852,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
816.549615713069,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
272.553480913397,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
724.857114661019,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
929.760983236134,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
513.454504983034,188.24,23.52,93.89,122.27,104.36,180.2,188.02,187.25
