sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
1,power2,STROKE,AllAge,1.94304791,0.017556933,0.462978605,6.672056133,-4270.427554,-4264.206162
2,power2,STROKE,AllAge,1.834615254,0.032132541,0.419172703,7.907087768,-4218.273872,-4212.052479
3,power2,STROKE,AllAge,1.082344225,0.002210361,1.862089142,6.955428486,-4191.34253,-4185.121138
4,power2,STROKE,AllAge,1.165627747,0.004723495,1.513463514,6.720888897,-4213.577438,-4207.356046
5,power2,STROKE,AllAge,1.106248522,0.004004703,1.603605309,7.294349021,-4219.618276,-4213.396884
6,power2,STROKE,AllAge,1.333803166,0.0018663,1.670460178,6.237214581,-4180.928951,-4174.707559
7,power2,STROKE,AllAge,1.172959924,0.002580629,1.684891444,5.852216633,-4187.214826,-4180.993433
8,power2,STROKE,AllAge,1.270124962,0.018269262,0.569172803,6.014315509,-4182.24763,-4176.026238
9,power2,STROKE,AllAge,1.058021517,0.010147745,1.456480512,7.583958331,-4208.872589,-4202.651196
10,power2,STROKE,AllAge,1.124214599,0.004772525,1.649384055,8.160733006,-4256.871217,-4250.649825
11,power2,STROKE,AllAge,1.288914881,0.003091018,1.682120057,8.297136205,-4242.500461,-4236.279068
12,power2,STROKE,AllAge,1.307301775,0.003716686,1.581551763,7.777562498,-4213.864644,-4207.643252
13,power2,STROKE,AllAge,1.100421036,0.006600988,1.453471125,7.168136612,-4208.513208,-4202.291816
14,power2,STROKE,AllAge,1.288640168,0.02289446,0.707026583,6.565365162,-4270.808073,-4264.58668
15,power2,STROKE,AllAge,1.370571325,0.023209944,0.482744078,5.862537865,-4207.202529,-4200.981137
16,power2,STROKE,AllAge,1.16624231,0.004651907,1.471407624,6.40271064,-4207.093593,-4200.872201
17,power2,STROKE,AllAge,1.200537204,0.00662278,1.422258775,8.675045845,-4233.325902,-4227.10451
18,power2,STROKE,AllAge,1.287011886,0.004974534,1.543432556,6.086232686,-4204.219526,-4197.998133
19,power2,STROKE,AllAge,1.220114913,0.000965356,2.053268763,8.196638858,-4215.106471,-4208.885079
20,power2,STROKE,AllAge,1.117610959,0.006660495,1.453596617,8.780388327,-4233.818679,-4227.597286
21,power2,STROKE,AllAge,1.415480528,0.01578044,1.099002186,6.664933925,-4225.965899,-4219.744507
22,power2,STROKE,AllAge,1.363041745,0.004559714,1.512274007,7.236477589,-4188.524996,-4182.303604
23,power2,STROKE,AllAge,1.351420552,0.014706607,0.926088532,7.899589282,-4255.228075,-4249.006682
24,power2,STROKE,AllAge,1.284641592,0.001282989,1.961676005,6.228146152,-4207.035163,-4200.813771
25,power2,STROKE,AllAge,1.335259726,0.008100717,1.220209695,6.043266481,-4203.09979,-4196.878398
26,power2,STROKE,AllAge,1.29145576,0.0263052,0.954895715,6.274759405,-4208.066735,-4201.845342
27,power2,STROKE,AllAge,2.563005286,0.020788786,0.402450196,8.321888189,-4206.502338,-4200.280946
28,power2,STROKE,AllAge,1.381679365,0.025748524,0.486001181,7.192800842,-4195.915618,-4189.694226
29,power2,STROKE,AllAge,1.416601919,0.013346947,0.953382333,6.578318064,-4195.653985,-4189.432593
30,power2,STROKE,AllAge,0.90275934,0.000439788,2.940091187,8.202122189,-4180.804478,-4174.583086
31,power2,STROKE,AllAge,1.060347312,0.003736093,1.778188242,6.361746701,-4215.919357,-4209.697965
32,power2,STROKE,AllAge,1.555149739,0.032537847,0.482982685,7.283423012,-4196.885441,-4190.664048
33,power2,STROKE,AllAge,1.142057733,0.00817822,1.466577663,7.622209044,-4223.310865,-4217.089473
34,power2,STROKE,AllAge,1.165893188,0.014188334,0.994533383,7.756644863,-4212.131179,-4205.909787
35,power2,STROKE,AllAge,1.114513834,0.004854858,1.352830044,6.479336648,-4197.789913,-4191.568521
36,power2,STROKE,AllAge,1.526926466,0.021638233,0.740306498,6.784199015,-4257.429458,-4251.208066
37,power2,STROKE,AllAge,0.833600479,0.000501133,2.99159404,8.301592085,-4243.199407,-4236.978015
38,power2,STROKE,AllAge,1.09924893,0.001786712,1.99404523,7.649555801,-4207.866441,-4201.645049
39,power2,STROKE,AllAge,1.169253235,0.012079566,1.102797698,7.999281747,-4245.564631,-4239.343239
40,power2,STROKE,AllAge,1.430185067,0.005315651,1.250250188,6.954218063,-4178.115433,-4171.89404
41,power2,STROKE,AllAge,1.402316105,0.004714233,1.566828296,7.281746596,-4221.40426,-4215.182868
42,power2,STROKE,AllAge,1.064728403,0.022474233,0.93766073,7.068735834,-4211.954108,-4205.732716
43,power2,STROKE,AllAge,1.180992168,0.010888405,1.141714604,8.33850241,-4252.484473,-4246.263081
44,power2,STROKE,AllAge,1.384608646,0.00504704,1.538410536,8.189731683,-4202.983664,-4196.762271
45,power2,STROKE,AllAge,1.304916594,0.006318425,1.315761485,7.466819879,-4247.225926,-4241.004534
46,power2,STROKE,AllAge,1.12270282,0.008465189,1.31709519,7.109264256,-4233.594083,-4227.372691
47,power2,STROKE,AllAge,1.116925101,0.000572572,2.257529172,7.626136566,-4213.332409,-4207.111017
48,power2,STROKE,AllAge,1.090629466,0.000954377,2.138425781,6.30944332,-4232.495116,-4226.273723
49,power2,STROKE,AllAge,1.097667883,0.004878639,1.588413515,5.900572219,-4192.895125,-4186.673733
50,power2,STROKE,AllAge,1.126086376,0.001675867,1.93077982,8.443791456,-4242.225262,-4236.003869
51,power2,STROKE,AllAge,1.300451142,0.007226244,1.133374721,8.736883768,-4247.567278,-4241.345886
52,power2,STROKE,AllAge,1.136892845,0.001376767,2.071373243,7.986978963,-4195.928232,-4189.706839
53,power2,STROKE,AllAge,1.373113551,0.001854117,1.770844531,6.838155314,-4224.285826,-4218.064433
54,power2,STROKE,AllAge,1.392593593,0.007396212,1.314850938,6.072637333,-4163.910109,-4157.688717
55,power2,STROKE,AllAge,1.306209739,0.008252607,1.074974784,7.643783939,-4253.389197,-4247.167804
56,power2,STROKE,AllAge,1.282004888,0.015539992,0.972010684,8.373850581,-4238.550223,-4232.328831
57,power2,STROKE,AllAge,1.23295518,0.034205924,0.630211405,7.784247077,-4334.499244,-4328.277851
58,power2,STROKE,AllAge,1.444492129,0.027360084,0.472723792,7.003019133,-4226.662009,-4220.440617
59,power2,STROKE,AllAge,1.133627224,0.010513902,1.436082052,8.061325271,-4190.107009,-4183.885617
60,power2,STROKE,AllAge,1.301500644,0.011438305,1.155158989,8.254240534,-4269.280631,-4263.059239
61,power2,STROKE,AllAge,0.961161764,0.001309066,2.099848635,6.522002534,-4191.713501,-4185.492109
62,power2,STROKE,AllAge,1.160453514,0.000839996,2.184223355,6.367589056,-4170.859017,-4164.637625
63,power2,STROKE,AllAge,1.360520846,0.019655818,0.883048633,8.22002174,-4217.109194,-4210.887802
64,power2,STROKE,AllAge,1.181594191,0.078188794,0.426617089,6.712945799,-4216.833261,-4210.611869
65,power2,STROKE,AllAge,1.307925499,0.031514982,0.480956035,8.360993716,-4261.499813,-4255.278421
66,power2,STROKE,AllAge,1.362413327,0.000866861,2.113439617,7.128214373,-4189.01601,-4182.794617
67,power2,STROKE,AllAge,1.330276984,0.003765792,1.470776096,6.474915729,-4207.526233,-4201.30484
68,power2,STROKE,AllAge,0.733642568,0.000791631,2.55003764,6.57472793,-4211.796991,-4205.575599
69,power2,STROKE,AllAge,0.862561133,0.00071654,2.67694105,7.149730728,-4179.397845,-4173.176453
70,power2,STROKE,AllAge,1.215263026,0.010078131,1.079796242,7.660062077,-4189.861326,-4183.639933
71,power2,STROKE,AllAge,1.36244064,0.014225457,1.001923103,8.024951435,-4273.296823,-4267.075431
72,power2,STROKE,AllAge,1.178391504,0.004466709,1.529450668,7.657682591,-4241.136918,-4234.915526
73,power2,STROKE,AllAge,1.408754666,0.003745198,1.439025174,7.155227869,-4214.432043,-4208.210651
74,power2,STROKE,AllAge,1.233628474,0.005052859,1.248639104,6.173333534,-4255.633592,-4249.4122
75,power2,STROKE,AllAge,1.304764136,0.002218724,1.437573134,5.992937835,-4255.545695,-4249.324303
76,power2,STROKE,AllAge,1.23383807,0.006353892,1.502119458,7.954982619,-4196.518705,-4190.297313
77,power2,STROKE,AllAge,1.180004504,0.002443192,1.874456433,6.570444339,-4203.52533,-4197.303938
78,power2,STROKE,AllAge,1.265417423,0.009158782,1.291796347,8.291113684,-4212.918199,-4206.696806
79,power2,STROKE,AllAge,3.643272683,0.02445627,0.304612753,6.710107155,-4233.982069,-4227.760677
80,power2,STROKE,AllAge,1.187099284,0.004603265,1.419387598,7.772935735,-4290.271059,-4284.049667
81,power2,STROKE,AllAge,1.921637668,0.036491806,0.403100549,6.695843949,-4201.559609,-4195.338217
82,power2,STROKE,AllAge,1.371348105,0.008552556,1.224146414,7.282583633,-4202.156624,-4195.935232
83,power2,STROKE,AllAge,1.728309542,0.015938531,0.489726958,6.50289043,-4203.948302,-4197.72691
84,power2,STROKE,AllAge,1.218399265,0.011842662,1.154578505,7.517232636,-4203.37562,-4197.154228
85,power2,STROKE,AllAge,1.37464904,0.027440308,0.457447126,8.343286614,-4221.536505,-4215.315113
86,power2,STROKE,AllAge,1.234191045,0.019183232,1.131095494,6.736955874,-4199.45358,-4193.232188
87,power2,STROKE,AllAge,1.251203195,0.009220172,1.24659124,7.926385318,-4246.978985,-4240.757593
88,power2,STROKE,AllAge,1.378581228,0.004038106,1.540809083,7.371748369,-4194.306141,-4188.084749
89,power2,STROKE,AllAge,1.107402811,0.011532352,1.330966865,8.721951857,-4184.894504,-4178.673112
90,power2,STROKE,AllAge,1.204137423,0.025896138,0.562465411,8.117527599,-4189.780732,-4183.55934
